Frame,Sub Frame,RF,BF,MG,LG,AT
63,3,0.00038147,-0.0140762,0.0408173,0.0354004,0.0857162
63,4,-0.001297,-0.00133514,0.0396729,0.0342178,0.0733185
64,0,-0.00217438,0.00434875,0.0337601,0.0303268,0.0712585
64,1,0.000762939,-0.0112152,0.0305939,0.0280762,0.0940704
64,2,0.00270844,-0.0143814,0.0256729,0.0285721,0.102463
64,3,-0.00125885,0.0140762,0.0214386,0.0226974,0.117302
64,4,0.00183105,0.123177,0.0274658,0.0265884,0.163383
65,0,-0.00114441,0.0260544,0.0352859,0.0383759,0.188675
65,1,-3.81E-05,-0.0695038,0.0458527,0.0439835,0.0241852
65,2,0.00499725,-0.0727463,0.0509644,0.0496292,-0.283661
65,3,0.00415802,-0.0343704,0.0494003,0.0524902,-0.34729
65,4,0.00339508,-0.0174332,0.0435257,0.0499725,-0.0976181
66,0,0.00205994,-0.0233078,0.0362778,0.0462723,0.0793076
66,1,0.000228882,-0.0312424,0.0339127,0.0449371,0.136757
66,2,-0.00114441,0.00896454,0.0349045,0.0429153,0.150414
66,3,0.00087738,0.0217438,0.041275,0.0415802,0.174637
66,4,0.00141144,0.0476456,0.0450516,0.0407028,0.135002
67,0,0.001297,0.0336075,0.0388718,0.03685,0.018425
67,1,0.00614166,0.0793457,0.0383377,0.0349426,0.0114822
67,2,0.0056076,0.0457382,0.0368118,0.039444,0.0731659
67,3,0.00507355,-0.100098,0.0317383,0.0396347,0.0276566
67,4,-0.000686646,-0.0455475,0.038147,0.0431824,0.0842285
68,0,-0.00900269,0.0330353,0.0392532,0.0455093,0.0613785
68,1,-0.00740051,-0.0106812,0.0423813,0.0484085,-0.0103378
68,2,-0.0043869,-0.0856781,0.0459671,0.0508118,0.00740051
68,3,-0.00339508,-0.044632,0.0378418,0.0465012,0.0740433
68,4,-0.00350952,0.0166321,0.0338745,0.0403595,0.0716782
69,0,-0.00415802,0.0322723,0.0324249,0.040741,0.0474167
69,1,-0.00286102,0.0136185,0.0294113,0.0411606,0.045433
69,2,-0.0012207,0.0305557,0.0261688,0.0402832,0.0977325
69,3,-0.00198364,0.074501,0.0253677,0.0418472,0.0914001
69,4,-0.000991821,0.0998306,0.0201797,0.0437164,0.0963593
70,0,0.00038147,0.065155,0.0167847,0.0408173,0.111656
70,1,0.00141144,-0.0392532,0.0291443,0.0504684,0.107422
70,2,-0.000343323,0.00141144,0.0355911,0.058403,-0.00682831
70,3,0.000991821,-0.0488281,0.0457764,0.0659561,-0.12413
70,4,0.00114441,-0.179977,0.055542,0.0687408,-0.112915
71,0,0.0019455,-0.241127,0.0532913,0.0692749,0.0710678
71,1,0.00450134,-0.176086,0.0490189,0.0567627,0.136223
71,2,0.00358582,0.187073,0.0437927,0.0395203,0.0916672
71,3,0.00530243,0.198212,0.0406647,0.0374222,0.0532532
71,4,0.00598907,0.0596237,0.0383759,0.0391388,0.0299454
72,0,0.00839233,0.119057,0.0366211,0.0378799,0.0110626
72,1,0.00919342,0.25322,0.0380325,0.0391769,0.0325394
72,2,0.00587463,0.111046,0.0409317,0.0362015,-0.00968933
72,3,0.00610352,-0.213661,0.0390244,0.0383377,-0.118637
72,4,-3.81E-05,-0.163574,0.0403595,0.0362778,-0.0846481
73,0,-0.0030899,-0.0973129,0.037384,0.0372314,0.0401688
73,1,-0.00469208,-0.00743866,0.0345993,0.0383377,0.110779
73,2,-0.00637054,0.0664902,0.0343704,0.0411987,0.103493
73,3,-0.00595093,0.0389481,0.0333786,0.0408554,0.103111
73,4,-0.00583649,0.0330734,0.0321579,0.0437546,0.101624
74,0,-0.00541687,-0.0296021,0.0363159,0.0432205,0.0865936
74,1,0.000534058,-0.00339508,0.0340652,0.0427246,0.0737
74,2,-0.00293732,-0.0536728,0.0357437,0.042572,0.0681305
74,3,-0.00247955,-0.179367,0.0353241,0.0422668,0.0609589
74,4,-0.00522614,-0.119972,0.0318146,0.0386047,0.0601578
75,0,-0.0050354,0.0809479,0.0302887,0.0403595,0.0602341
75,1,0.000953674,0.14679,0.0302505,0.0404739,0.0587845
75,2,0.00392914,0.0990677,0.0325775,0.0469208,0.0567627
75,3,0.000190735,0.0627899,0.0372696,0.0524139,0.0539017
75,4,0.00297546,-0.114059,0.0408173,0.0486374,0.0496674
76,0,0.00461578,-0.254555,0.0408173,0.0468826,0.0471115
76,1,0.00301361,-0.146675,0.0407791,0.045929,0.0217056
76,2,0.00175476,-0.042038,0.0428391,0.0483704,0.0106812
76,3,0.00221252,-0.00717163,0.0467682,0.0456238,0.0275421
76,4,0.00190735,0.0728607,0.0491333,0.0392532,0.0340652
77,0,0.00331879,0.179863,0.0485229,0.0292587,0.0465393
77,1,0.00549316,0.148048,0.0400162,0.0270081,0.0485229
